Average Loss,Correct,Accracy
0.314511775970459,26545,88.48333333333333
0.16623997688293457,27955,93.18333333333334
0.198945090174675,27661,92.20333333333333
0.14737288653850555,28424,94.74666666666667
0.16934433579444885,27933,93.11
0.14039918780326843,28270,94.23333333333333
0.11205251514911652,28698,95.66
0.09776788204908371,28934,96.44666666666667
0.1603698581457138,28172,93.90666666666667
0.1645989716053009,28268,94.22666666666667
0.2987314760684967,27343,91.14333333333333
0.09183322638273239,28985,96.61666666666666
0.11507725715637207,28665,95.55
0.121120385825634,28522,95.07333333333334
0.10455659031867981,28781,95.93666666666667
0.11581744998693466,28587,95.29
0.10773894935846329,28691,95.63666666666667
0.13370078802108765,28546,95.15333333333334
0.10493207722902298,28770,95.9
0.2441510707139969,27732,92.44
0.09869049489498138,28915,96.38333333333334
0.07568523287773132,29143,97.14333333333333
0.12508948147296906,28548,95.16
0.1561882346868515,28454,94.84666666666666
0.0948910191655159,28966,96.55333333333333
