Average Loss,Correct,Accracy
0.24758557975292206,27132,90.44
0.26507726311683655,26962,89.87333333333333
0.2374584823846817,27233,90.77666666666667
0.20322832465171814,27544,91.81333333333333
0.1789596676826477,27863,92.87666666666667
0.18425248563289642,27738,92.46
0.13645459711551666,28397,94.65666666666667
0.22513984143733978,27367,91.22333333333333
0.1401483416557312,28298,94.32666666666667
0.11507914960384369,28703,95.67666666666666
0.15072819590568542,28409,94.69666666666667
0.14572516083717346,28221,94.07
0.17729955911636353,27971,93.23666666666666
0.1487097591161728,28287,94.29
0.20588301122188568,28000,93.33333333333333
0.16010910272598267,28123,93.74333333333334
0.12477735430002213,28527,95.09
0.12576821446418762,28486,94.95333333333333
0.12846116721630096,28545,95.15
0.13261400163173676,28525,95.08333333333333
0.140065997838974,28347,94.49
0.09834997355937958,28842,96.14
0.11736823618412018,28654,95.51333333333334
0.2311421036720276,27684,92.28
0.11262786388397217,28782,95.94
0.12354492396116257,28578,95.26
0.16139692068099976,28252,94.17333333333333
0.19559046626091003,28078,93.59333333333333
0.1545625925064087,28509,95.03
0.20367754995822906,27703,92.34333333333333
0.13309986889362335,28471,94.90333333333334
0.11740121245384216,28717,95.72333333333333
0.21848638355731964,27954,93.18
0.11965546011924744,28569,95.23
0.2321617305278778,27678,92.26
0.12931309640407562,28606,95.35333333333334
0.14816813170909882,28386,94.62
0.14263740181922913,28399,94.66333333333333
0.14125113189220428,28414,94.71333333333334
0.195535808801651,28220,94.06666666666666
0.19988477230072021,28183,93.94333333333333
0.12378053367137909,28693,95.64333333333333
0.1546589583158493,28275,94.25
0.23680871725082397,28019,93.39666666666666
0.09367942810058594,28935,96.45
0.10687556117773056,28783,95.94333333333333
0.15809038281440735,28487,94.95666666666666
0.1419724076986313,28415,94.71666666666667
0.17043301463127136,28399,94.66333333333333
0.10864989459514618,28988,96.62666666666667
