user0,user1,user2,user3,,,,
1.122544682,1.401631915,0.192074177,0.0884422666,0.467672112,0.920340007,1.490463567,2.10706832
1.12939958,1.304910059,0.357699288,0.129734811,0.468949443,0.919544327,1.519247774,2.113791862
1.109160263,1.181107135,0.516290388,0.238716692,0.479065561,0.915913559,1.521294049,2.100558167
1.085897174,1.101461722,0.612775732,0.363919934,0.45787217,0.915864672,1.51251366,2.130468938
1.049824131,1.048690204,0.686676993,0.475357253,0.467245871,0.917887689,1.495440639,2.123755995
1.012798192,1.012391703,0.747863856,0.574742624,0.481628297,0.947022,1.491408943,2.084893244
0.974701293,0.990319607,0.807893625,0.654840891,0.471087119,0.926767271,1.514264429,2.089370744
0.939350266,0.974384103,0.847469422,0.732868904,0.471013802,0.898249645,1.518256119,2.118682207
0.905878599,0.980260996,0.889164416,0.796556393,0.467429847,0.923587534,1.507619649,2.097043685
0.878628129,0.966095591,0.930097092,0.84989932,0.465214147,0.922201162,1.516643918,2.115889232
0.853226181,0.958686662,0.954731185,0.90403037,0.477607853,0.917420841,1.521931363,2.099404085
0.834967093,0.962786146,0.958096975,0.962243594,0.472855368,0.932190156,1.501709947,2.101804409
0.815444354,0.943770866,0.992753533,1.013010371,0.473473088,0.907353169,1.516696971,2.128792126
0.796809982,0.931848739,1.013797485,1.050955874,0.473190945,0.903726361,1.524437618,2.120947549
0.777998244,0.927895985,1.030387082,1.100463749,0.479921333,0.904625717,1.51107183,2.113614875
0.762142355,0.928794873,1.042451001,1.135019491,0.468260896,0.931168128,1.502985869,2.110663241
0.749024253,0.931383511,1.065991259,1.160558327,0.48612636,0.906242361,1.515016578,2.101823721
0.738620862,0.925330641,1.078708241,1.185084474,0.475836187,0.912757613,1.512913849,2.131437952
0.724293675,0.928716213,1.08942712,1.215842846,0.459140675,0.920121299,1.525268288,2.114923269
0.71917133,0.926974913,1.100256253,1.245917618,0.483135395,0.899335817,1.515003672,2.11638568
0.707973125,0.90847518,1.116636825,1.267680915,0.480366478,0.932331067,1.505544266,2.104471819
0.694621536,0.915011909,1.123099031,1.292286819,0.464786586,0.934811871,1.513708831,2.105018101
0.682531888,0.9213052,1.135516882,1.323864658,0.470064776,0.890334658,1.556147845,2.122027604
0.677969062,0.903559179,1.148919915,1.344867703,0.476432939,0.914887671,1.514125029,2.115877279
0.673139273,0.905090874,1.151607994,1.351974289,0.471548836,0.936233166,1.490086151,2.116834085
0.673801288,0.90748791,1.161395643,1.374913575,0.471560067,0.923637645,1.507174738,2.101490983
0.658211492,0.903947304,1.178837031,1.399661755,0.461297657,0.924243495,1.508427089,2.12188391
0.656706948,0.902945336,1.179149292,1.414461941,0.479098495,0.91326138,1.48631972,2.121513557
0.646871931,0.892834421,1.191613602,1.427676021,0.482114433,0.924518815,1.49774366,2.115741563
0.642363841,0.905727766,1.189812201,1.449601119,0.467633346,0.908291422,1.502388908,2.136114241
0.630474995,0.899154339,1.210242285,1.461772029,0.470649835,0.932049925,1.512511719,2.112492562
0.630268724,0.900156602,1.20550485,1.481426686,0.471868973,0.913354445,1.495488087,2.127600042
0.622773374,0.902872544,1.199081289,1.497595656,0.482768898,0.912456274,1.516882668,2.12820048
0.622190409,0.895377969,1.217633154,1.498292527,0.465891017,0.949299811,1.491280023,2.115855336
0.618951206,0.896889745,1.226702158,1.523470467,0.469973714,0.910377949,1.506289643,2.118066929
0.612275947,0.889754257,1.229034051,1.539873345,0.472445108,0.920737665,1.495976073,2.114141144
0.61225117,0.88908762,1.244292212,1.536048936,0.473869555,0.917772114,1.480923733,2.140695924
0.607711569,0.89989123,1.237456682,1.543217961,0.474392795,0.933932764,1.496138587,2.141144246
0.597667136,0.898365872,1.248570724,1.553483033,0.459835596,0.933770108,1.492984216,2.121793229
0.59679112,0.89807688,1.246743018,1.553979571,0.483464121,0.897347911,1.520215279,2.113288349
0.600480088,0.906029861,1.249318425,1.563110035,0.475419293,0.914662364,1.504482402,2.130662498
0.593521236,0.891809814,1.254487342,1.586094549,0.47790063,0.910678976,1.511005715,2.115404596
0.595252449,0.898658498,1.255244761,1.587964352,0.465245402,0.891245902,1.516547947,2.145753461
0.584245859,0.888703563,1.269136128,1.594028078,0.476339769,0.896469109,1.502786509,2.117807972
0.588609938,0.895719889,1.262159251,1.616883416,0.492495216,0.907108427,1.499355763,2.11292429
0.584725815,0.900746386,1.270800697,1.605157787,0.47552498,0.917990439,1.520188874,2.117828996
0.583971947,0.895571897,1.270436435,1.61541492,0.471474161,0.89616632,1.507048478,2.137736859
0.580907251,0.888168226,1.28214779,1.618236448,0.479682591,0.934939186,1.511375832,2.104646
0.572958842,0.898759167,1.282126672,1.638731071,0.46994821,0.919301428,1.503401293,2.102692351
0.571090992,0.892647151,1.282862434,1.640203104,0.46269323,0.923597986,1.521948628,2.121726483
