Average Loss,Correct,Accracy
0.2847716808319092,26733,89.11
0.17182043194770813,27919,93.06333333333333
0.22683492302894592,27373,91.24333333333334
0.1987685114145279,27634,92.11333333333333
0.15010890364646912,28159,93.86333333333333
0.23074805736541748,27522,91.74
0.17759323120117188,27906,93.02
0.1410170942544937,28278,94.26
0.250318318605423,27505,91.68333333333334
0.13090892136096954,28453,94.84333333333333
0.197473406791687,27984,93.28
0.13854585587978363,28297,94.32333333333334
0.14159560203552246,28261,94.20333333333333
0.17718008160591125,28087,93.62333333333333
0.21535389125347137,27911,93.03666666666666
0.10506905615329742,28689,95.63
0.12269412726163864,28536,95.12
0.1112494096159935,28815,96.05
0.08547143638134003,29030,96.76666666666667
0.10192374885082245,28778,95.92666666666666
0.1338428109884262,28515,95.05
0.09610194712877274,28876,96.25333333333333
0.17683164775371552,28254,94.18
0.16630595922470093,28414,94.71333333333334
0.09924720972776413,28905,96.35
0.21494969725608826,28098,93.66
0.22943522036075592,27964,93.21333333333334
0.10099644958972931,28915,96.38333333333334
0.12927980720996857,28724,95.74666666666667
0.09478169679641724,28986,96.62
0.1178436204791069,28764,95.88
0.1055612713098526,28754,95.84666666666666
0.08560093492269516,29036,96.78666666666666
0.0812605544924736,29177,97.25666666666666
0.12257862091064453,28719,95.73
0.1554693728685379,28542,95.14
0.165724977850914,28249,94.16333333333333
0.1035783439874649,29021,96.73666666666666
0.1129165068268776,28860,96.2
0.0904492735862732,29045,96.81666666666666
0.07770225405693054,29190,97.3
0.10427239537239075,28822,96.07333333333334
0.13018567860126495,28704,95.68
0.13548564910888672,28847,96.15666666666667
0.12612494826316833,28763,95.87666666666667
0.12183400988578796,29003,96.67666666666666
0.08568745106458664,29233,97.44333333333333
0.12110329419374466,28857,96.19
0.10615197569131851,28848,96.16
0.08804658055305481,29148,97.16
