Average Loss,Correct,Accracy
0.0002845083363354206,12826,64.13
0.0003774958022404462,13442,67.21
0.000321805797284469,15020,75.1
0.0003492424439173192,15185,75.925
0.00029049854492768645,16029,80.145
0.00028438144363462925,16284,81.42
0.00029821673524565995,14542,72.71
0.0002918713435065001,16158,80.79
0.0002843955298885703,16818,84.09
0.0003013588720932603,16636,83.18
0.0002838819636963308,16264,81.32
0.00029218668350949883,16271,81.355
0.0003393312799744308,15812,79.06
0.00028394852415658534,16636,83.18
0.0003039776347577572,16674,83.37
0.0002879517269320786,15849,79.245
0.0004991117748431861,15459,77.295
0.0004368883091956377,16803,84.015
0.0003004052850883454,16826,84.13
0.0002863458066713065,15840,79.2
0.0002843925904016942,15948,79.74
0.0002841490786522627,16843,84.215
