0,1,2,,,,
135.7557694,120.670883,110.2980892,,162.8214746,154.1124407,174.895334
117.2845282,102.0937769,138.4929476,,,,
146.0673394,106.7648317,140.2823862,,,,
129.8133338,125.036293,135.7319931,,,,
149.9485581,103.4516295,123.5359588,,,,
150.425213,102.4515891,135.1458924,,,,
133.7250974,116.4534068,138.761432,,,,
144.4554495,117.4394807,131.5023948,,,,
135.5141701,120.3180501,140.7231145,,,,
139.5481612,133.6323599,138.7594307,,,,
152.5957728,123.4843334,129.7767601,,,,
95.01635992,126.3004179,113.7410217,,,,
106.2898736,117.2526131,115.6403562,,,,
135.606981,122.8896644,130.2293706,,,,
111.8768474,91.9812963,132.6256573,,,,
140.0583491,116.9382965,128.0317453,,,,
118.337882,94.972413,109.0755613,,,,
112.856441,94.39198873,113.574112,,,,
120.7202381,113.4358595,113.2953342,,,,
135.5499258,109.5736179,128.0670106,,,,
135.7361028,87.57784667,123.1522504,,,,
121.1619645,124.5108614,89.04493029,,,,
114.4147687,128.9399862,114.4766075,,,,
102.3090233,133.4400005,120.4484718,,,,
100.718434,136.89225,99.43645515,,,,
133.7007943,138.0948809,98.84127446,,,,
134.2721449,137.3079592,95.54134821,,,,
123.7731518,130.5387062,118.8688139,,,,
124.8208349,128.373845,121.8655458,,,,
125.0022117,129.1214269,126.4233101,,,,
115.1812954,117.3864439,125.8224925,,,,
103.5978557,120.2645184,120.4127646,,,,
121.2559586,118.4970881,129.6136903,,,,
137.9805402,134.994332,126.5620372,,,,
145.7927174,120.9208226,113.7894737,,,,
132.8599578,126.0909393,120.5759495,,,,
138.4291713,128.9821155,115.4391036,,,,
141.1321584,135.5826469,126.1665187,,,,
145.0705381,140.9659336,122.8471507,,,,
141.4687316,136.3510885,141.4513001,,,,
122.1302145,145.4656734,138.2227354,,,,
116.9209536,127.2182991,87.68263215,,,,
137.1035793,129.4230615,98.59622803,,,,
127.3374308,132.1506625,62.26449094,,,,
124.9281854,133.5685674,75.34613275,,,,
122.4662049,134.9461319,84.45264746,,,,
101.7850676,140.7235444,75.76364726,,,,
99.0556901,131.757639,90.81773369,,,,
141.3819664,132.0154875,95.11599559,,,,
136.9506901,130.7232724,97.35877672,,,,
124.2737103,131.0948694,94.69202946,,,,
115.6481624,91.63647937,106.6607676,,,,
100.5832763,68.41786174,122.9758665,,,,
110.8490333,92.45587975,111.0836557,,,,
121.367951,78.80997078,114.1349796,,,,
131.8695165,78.5104774,115.7346692,,,,
118.9836083,71.17407553,126.5462299,,,,
131.0769678,68.12081348,133.0794628,,,,
138.8476637,113.9571152,129.3949464,,,,
143.3584629,124.9613101,123.2556299,,,,
132.8566363,134.5477588,132.8024351,,,,
119.3358481,128.1605811,113.7871002,,,,
123.254327,125.3606838,124.829508,,,,
116.0636619,133.248731,111.557568,,,,
122.7413291,138.0690965,110.1014983,,,,
115.940847,134.2363064,120.8165569,,,,
119.2334471,129.4003707,120.9355041,,,,
115.3032044,132.3912194,109.0482637,,,,
117.2611453,143.4926437,103.619882,,,,
129.4197934,143.6533785,128.7626995,,,,
117.4170857,137.840738,105.3903887,,,,
35.04808443,116.6369251,117.6501225,,,,
46.08826591,128.3571486,117.8577687,,,,
110.2068428,138.1231071,121.2193979,,,,
120.0622693,124.4431217,110.5724665,,,,
133.2561881,136.7285975,121.2750048,,,,
129.2410526,126.7882575,134.1352996,,,,
133.8963317,142.433147,140.8919548,,,,
127.8779861,146.5854881,136.2056456,,,,
134.1264137,136.5828618,142.4867183,,,,
136.9008296,144.2279724,142.6867178,,,,
135.2969062,120.37051,114.5366678,,,,
135.6964007,126.6657468,122.1575308,,,,
130.0634461,129.7139443,95.63023695,,,,
139.7613053,135.1291447,118.309524,,,,
141.5256904,139.8080591,119.0845715,,,,
150.3309767,127.0977566,114.1963901,,,,
140.8710736,107.6513646,126.8162014,,,,
134.0360719,98.07141384,116.9225817,,,,
141.5470834,117.8106978,141.7236079,,,,
138.8428981,130.2350307,121.3676024,,,,
128.8403916,95.71725459,130.8348251,,,,
141.2854358,128.1525006,135.8513446,,,,
106.3154512,123.7695077,126.8209876,,,,
149.9605024,141.8580695,140.9916683,,,,
110.289645,133.1181714,132.112237,,,,
117.5796944,124.8568755,135.4255691,,,,
105.1178374,117.9962576,134.7430162,,,,
135.3494512,135.7018215,135.696106,,,,
132.884233,114.0349892,139.3196301,,,,
112.952353,133.1868058,128.3801918,,,,
129.8258703,132.2775889,114.6725581,,,,
135.284068,129.79939,113.1917472,,,,
139.236766,115.7724718,115.7635198,,,,
140.4323423,114.8459596,127.9009905,,,,
133.7125392,118.1698502,114.8212859,,,,
154.5282551,130.0175103,121.892184,,,,
148.0635675,132.4325674,119.0313208,,,,
