Average Loss,Correct,Accracy
0.2387647181749344,26303,87.67666666666666
0.22872550785541534,26240,87.46666666666667
0.1851138472557068,26978,89.92666666666666
0.2109643816947937,26281,87.60333333333334
0.1791113018989563,26960,89.86666666666666
0.16883951425552368,27425,91.41666666666667
0.13639289140701294,28003,93.34333333333333
0.14296051859855652,27738,92.46
0.13687531650066376,27800,92.66666666666667
0.14485104382038116,27476,91.58666666666667
0.12687337398529053,27930,93.1
0.12757006287574768,28050,93.5
0.10786905139684677,28382,94.60666666666667
0.10173316299915314,28260,94.2
0.09257806092500687,28512,95.04
0.08632772415876389,28640,95.46666666666667
0.09877408295869827,28319,94.39666666666666
0.097586989402771,28672,95.57333333333334
0.08185695111751556,28787,95.95666666666666
0.09853067249059677,28235,94.11666666666666
0.09773661941289902,28476,94.92
0.08767671883106232,28560,95.2
0.09737862646579742,28460,94.86666666666666
0.08379627764225006,28670,95.56666666666666
0.08239754289388657,28725,95.75
0.0842832699418068,28732,95.77333333333333
0.0827348604798317,28768,95.89333333333333
0.07348863035440445,28923,96.41
0.09204930812120438,28397,94.65666666666667
0.07919823378324509,28704,95.68
0.07625412940979004,28856,96.18666666666667
0.08950355648994446,28464,94.88
0.08430424332618713,28640,95.46666666666667
0.07773714512586594,28709,95.69666666666667
0.09349614381790161,28488,94.96
0.0806485265493393,28689,95.63
0.07582618296146393,28843,96.14333333333333
0.0844448059797287,28769,95.89666666666666
0.09117978811264038,28664,95.54666666666667
0.08731741458177567,28487,94.95666666666666
0.08897548913955688,28491,94.97
0.07999441772699356,28694,95.64666666666666
0.0983193963766098,28170,93.9
0.07847565412521362,28704,95.68
0.08401884138584137,28632,95.44
0.08542287349700928,28733,95.77666666666667
0.0781116709113121,28794,95.98
0.08051824569702148,28742,95.80666666666667
0.09446084499359131,28383,94.61
0.08555266261100769,28600,95.33333333333333
