systemThrouput,
4.714113723,5.026315646
4.69690283,4.985921076
4.721287934,5.003863245
4.717044206,5.023181099
4.715073227,5.012234121
4.714393607,4.988795058
4.732262407,5.021813132
4.719722651,5.031191576
4.720416669,5.014747127
4.731984052,5.003934503
4.717241975,5.012261794
4.72459956,5.013728842
4.731884856,5.009259606
4.728344163,5.034220275
4.722721514,5.03453444
4.734968401,5.020869906
4.73090064,5.008559376
4.724857923,5.015059432
4.729786181,5.018524015
4.71929235,5.001318426
4.735004517,5.023563974
4.73772688,5.024204278
4.73602938,5.008334621
4.720348254,4.993501514
4.742497116,5.000909302
4.730502802,5.014755761
4.734941758,5.024986001
4.735741561,5.00797408
4.737925042,5.014595202
4.739084053,5.002864622
4.739255781,5.017841231
4.750449606,5.008571954
4.742498954,5.004285866
4.739613874,5.019802669
4.746075174,5.042415011
4.758077357,5.022437229
4.750150346,5.009978995
4.740237443,5.040775281
4.757666058,5.000725893
4.748534661,5.021674714
4.751975948,5.016475526
4.755199355,5.005889315
4.760844494,4.997508323
4.754538862,4.997184087
4.756672327,4.995092374
4.757104394,4.993088193
4.757520926,5.025500734
4.767530159,5.035447173
4.754776803,5.013781796
4.760014624,5.02050222
4.759670953,5.032635277
4.771297002,4.999074488
4.768425058,5.023768822
4.765685894,5.000334113
4.774332149,4.992472715
4.765932198,5.008868769
4.772079672,5.039010394
4.761759807,5.019334764
4.768090461,5.010920082
4.775579825,5.008952398
4.768841982,5.027615729
4.773422826,5.012782505
4.770702437,5.016001467
4.783573111,5.006273775
4.774325938,5.035322438
4.780053423,5.01952879
4.7816342,5.016382825
4.784592263,5.023656525
4.771166282,5.0282048
4.778397296,5.030480827
4.777631407,5.025346862
4.774442612,5.015252291
4.787574454,5.031016629
4.78579102,5.015637302
4.784496506,5.019663813
4.784808866,5.009996836
4.790189268,5.04790611
4.784584903,5.007100044
4.788619919,5.01501493
4.791048599,5.013901532
4.785833819,5.022561282
4.797644783,5.038193214
4.78872656,5.031909661
4.783028322,4.992611576
4.791081973,5.002705571
4.788224342,5.01875854
4.795881188,5.024549278
4.787776316,5.026962494
4.792213996,5.0244182
4.78689511,5.032834621
4.799009465,5.014486923
4.80030277,5.00387244
4.799009197,5.024195194
4.792302505,5.017098996
4.79530786,5.053617324
4.796196189,5.006667001
4.787947123,5.025700958
4.792410114,5.019258387
4.793850375,5.026452716
4.801423845,5.008881093
4.808706627,5.004302133
4.793026787,5.018230817
4.805218244,5.008684325
4.80083601,5.013507501
4.803529106,5.020675911
4.804623957,5.01661697
4.824358967,4.993677085
4.803798941,4.997822203
4.797079912,5.012743267
4.803933473,5.022667947
4.799778347,5.024903153
4.811701255,5.034301445
4.803455289,5.020059926
4.813196164,5.005892041
4.797296929,5.009689976
4.806784237,5.019617748
4.815487255,5.003661784
4.80314709,5.013443553
4.809848854,5.001214617
4.818001924,5.02391633
4.815706861,5.032249997
4.815830175,5.023163815
4.809057457,5.025996015
4.815157025,5.002712953
4.803258133,5.030235316
4.815834422,5.008646746
4.805955344,4.99870221
4.809213225,5.019562243
4.821350825,5.007858383
4.81562234,5.030143201
4.810748422,4.994057903
4.82713383,5.03283051
4.823857996,5.006635732
4.821221077,4.992987911
4.819845392,5.008695555
4.811498895,4.98753772
4.815801198,5.023576168
4.828531698,5.03051214
4.807153449,5.012370359
4.831167403,5.030912876
4.822137803,5.026536675
4.826575124,5.024484447
4.831440851,5.012441329
4.81917907,5.022128077
4.82527955,5.030759694
4.821275234,5.024234847
4.821782762,5.013151972
4.830043244,5.018744163
4.82870677,4.989589642
4.842052457,5.026012078
4.832047904,5.018166491
4.826998303,5.006620117
4.830283782,5.023026605
4.820992932,5.030848634
4.822632242,5.006667176
4.821690921,5.01289155
4.816111912,5.021727163
4.830126802,5.008708236
4.839786253,5.019944579
4.832527928,5.01223647
4.834514334,5.008640076
4.825291652,5.015091553
4.835032183,5.02963521
4.817563255,5.013132384
4.83208167,5.035081635
4.828324255,5.026597875
4.840323041,5.010715211
4.833878371,5.02768334
4.837389701,5.018487287
4.826197611,5.018340255
4.843650142,5.031012341
4.841584379,5.045858665
4.839298934,5.014874327
4.839555818,5.013170694
4.838863453,5.002601019
4.835640542,5.01555513
4.846117429,5.007262893
4.833548032,5.03660872
4.836793883,5.028286652
4.827583825,5.034173113
4.838999072,5.012580405
4.83713078,4.994167569
4.833632244,5.006934785
4.844639426,5.022879013
4.844061521,5.01020718
4.834083328,5.022174402
4.842119701,5.026077792
4.837472502,5.008046688
4.840030283,4.998330725
4.83910872,5.025969089
4.850166684,5.036001095
4.846884263,4.999696594
4.848828684,5.0177406
4.843439568,5.002465039
4.842184361,5.020846242
4.838189264,5.018704207
4.829086785,5.015230786
4.842595963,5.005984814
4.836059304,5.014502371
4.842870759,5.006734938
4.842390583,5.007393754
4.842419373,5.013208875
4.837662412,5.027749194
4.842814584,5.019417592
4.849829313,5.033469117
4.853425003,5.033259624
4.850541585,4.996435766
4.852560332,5.010730567
4.844028663,5.009301986
4.853506892,5.014175653
4.844165774,5.006361978
4.851083143,5.0209049
4.850422761,5.017791619
4.846413006,5.016863624
4.858052594,5.018550902
4.855744679,5.035281814
4.852799549,5.02009895
4.837389831,5.030583644
4.853399776,5.021072919
4.861467748,5.024053644
4.85840527,5.016990084
4.858504161,5.03460995
4.857339064,5.016569931
4.852935595,5.010111417
4.85047524,5.01689509
4.846642197,5.009360806
4.854274854,5.015109965
4.846354078,5.016711314
4.860436698,4.986185278
4.856242682,5.012469315
4.864858881,5.005092931
4.852500429,5.020263773
4.855549325,5.031564646
4.848142751,5.004194344
4.862672455,5.021200243
4.860057709,5.002834218
4.858037268,5.02855039
4.856837946,5.017936739
4.858226592,5.012009475
4.84567098,5.007843308
4.855814907,5.029686945
4.85576922,4.999962306
4.863053648,5.009045473
4.840579665,5.02354306
4.85812036,5.020732565
4.865633159,5.020338467
4.864949555,5.027840774
4.859376802,5.027142707
4.867854968,5.044921229
4.865597819,5.030779547
4.868380322,5.012878423
4.857068379,5.028250539
4.858013211,5.01873953
