0,1,2,,,,,
146.4652174,125.8004016,125.794792,,132.6868037,,107.8602685,14.26148853
122.6901157,118.7328022,138.2805493,,126.5678224,,,
135.1549742,119.6633204,129.1619291,,127.9934079,,,
124.6108621,118.3690425,126.0536147,,123.0111731,,,
119.9672964,118.029751,128.5658826,,122.1876433,,,
124.0972133,120.3960191,129.7172028,,124.7368117,,,
121.6907435,116.6197403,128.314078,,122.2081873,,,
124.6171632,126.0436772,134.5256468,,128.3954957,,,
123.3871887,128.8328287,135.1543009,,129.1247727,,,
122.1091106,129.4690193,137.363223,,129.6471176,,,
122.8800495,118.2247481,123.8290576,,121.6446184,,,
122.8641456,128.0144602,126.9959504,,125.9581854,,,
132.9462248,120.223371,130.939973,,128.0365229,,,
129.4124684,117.3226822,131.3522036,,126.0291181,,,
130.3594614,118.0993515,136.9085442,,128.4557857,,,
136.1699479,118.1416956,133.4841542,,129.2652659,,,
143.1557291,128.5585445,132.429273,,134.7145155,,,
123.403405,129.4509059,126.8265582,,126.5602897,,,
122.4071093,117.5534228,127.346352,,122.4356281,,,
123.1462677,115.6280605,136.1581699,,124.9774994,,,
140.7171109,123.0178722,129.128301,,130.954428,,,
125.979965,125.6206163,131.5598358,,127.7201391,,,
122.3225388,137.7607599,135.6419648,,131.9084212,,,
121.356245,130.0285482,125.6769428,,125.6872453,,,
131.0182999,128.7394691,131.422021,,130.3932633,,,
122.6733625,119.9627788,133.5459688,,125.3940367,,,
122.2075069,122.5783139,129.4990365,,124.7616191,,,
132.2910682,119.2396317,126.7509052,,126.0938684,,,
128.0218196,138.7897943,127.9933167,,131.6016435,,,
123.562155,122.1086656,124.3271089,,123.3326432,,,
130.6193457,114.0849921,133.03781,,125.9140493,,,
118.5720162,119.5504473,126.8796597,,121.6673744,,,
134.1888493,113.9542303,141.8403761,,129.9944852,,,
123.0335267,129.119319,128.4550574,,126.869301,,,
134.5065983,117.9241041,125.0637861,,125.8314962,,,
130.7164352,123.7306048,127.6044197,,127.3504866,,,
134.3730248,118.0792226,130.4223985,,127.624882,,,
132.2014248,113.7979863,120.224285,,122.0745654,,,
132.7880548,124.9643448,129.6376861,,129.1300286,,,
125.6274696,124.6990969,136.8328934,,129.0531533,,,
121.0039493,133.624413,125.5108115,,126.7130579,,,
124.5481751,126.6899994,122.8075452,,124.6819065,,,
129.5488142,120.8287435,137.2348135,,129.2041237,,,
132.0454084,127.9907781,123.5809387,,127.872375,,,
123.677,121.6979684,121.1223852,,122.1657845,,,
122.2453207,138.8661379,120.5865329,,127.2326638,,,
128.4593053,121.1281009,131.1913742,,126.9262601,,,
123.9206748,116.7485102,127.0645684,,122.5779178,,,
129.1466849,115.1882992,124.209067,,122.848017,,,
129.5026968,114.319004,125.0742308,,122.9653105,,,
124.2156731,120.4550724,126.5870567,,123.7526008,,,
123.5506366,118.1815794,125.0495827,,122.2605996,,,
129.2761257,120.9831373,120.5622289,,123.607164,,,
130.0232633,122.3499501,123.9759552,,125.4497229,,,
127.3488217,119.9482644,135.3539058,,127.5503306,,,
119.4824498,124.0785157,121.2032185,,121.5880613,,,
121.7932018,118.7207067,133.1336273,,124.5491786,,,
126.093178,124.4509958,127.177277,,125.9071503,,,
121.8775864,114.2264737,122.9071395,,119.6703999,,,
145.9665102,118.006204,126.2709403,,130.0812182,,,
127.0747707,125.7332944,130.2790849,,127.6957167,,,
126.6113964,127.7048957,127.0843383,,127.1335435,,,
131.4933037,128.9448449,124.8951123,,128.4444203,,,
124.7925114,123.3510934,122.4804941,,123.5413663,,,
133.3376475,121.8476013,127.5016396,,127.5622962,,,
132.4120674,122.0384219,138.2108288,,130.887106,,,
129.0015778,129.6726089,122.3073185,,126.9938351,,,
129.7371403,129.5439887,137.4300939,,132.2370743,,,
128.4749402,114.9165582,121.0606674,,121.4840553,,,
130.929588,114.7993508,124.3736126,,123.3675171,,,
120.6776695,121.8020407,117.6434694,,120.0410599,,,
127.8053033,114.3872766,124.3692602,,122.18728,,,
140.4628791,112.4663497,131.9798523,,128.303027,,,
120.6118254,124.6197731,125.665988,,123.6325288,,,
123.3552552,121.3212582,122.9897781,,122.5554305,,,
122.4784136,126.2507867,126.3987449,,125.0426484,,,
128.3081491,120.0425836,126.9351568,,125.0952965,,,
129.8458592,127.1589968,127.5219191,,128.1755917,,,
137.0347483,117.6262641,120.0600437,,124.9070187,,,
127.1671709,117.0393299,119.1149103,,121.107137,,,
131.3504995,115.5090486,130.7387165,,125.8660882,,,
126.0894358,123.3933264,118.7962912,,122.7596844,,,
120.7157097,114.1931254,124.2376585,,119.7154979,,,
135.6378884,115.9856883,118.5982447,,123.4072738,,,
124.8700251,115.0872239,132.5632494,,124.1734995,,,
134.654741,123.5148736,124.1167158,,127.4287768,,,
125.99196,122.3805745,129.163331,,125.8452885,,,
139.9263596,125.380964,125.5564214,,130.287915,,,
127.5116977,121.1081877,131.2555058,,126.6251304,,,
128.5940963,116.4009351,119.1922633,,121.3957649,,,
126.8242496,116.5355851,119.505174,,120.9550029,,,
120.7346499,117.5760081,122.1493308,,120.1533296,,,
119.7907392,114.8413633,120.7941209,,118.4754078,,,
138.4509349,123.6347919,133.761089,,131.9489386,,,
123.8637729,140.5192526,124.5316877,,129.6382378,,,
123.7402162,127.9107582,125.0975009,,125.5828251,,,
125.2882225,126.2031069,132.814274,,128.1018678,,,
130.611498,120.1858758,121.6122251,,124.136533,,,
122.0070317,117.6649928,135.9903218,,125.2207821,,,
127.5799778,126.556959,126.1980686,,126.7783351,,,
119.6976921,120.5991773,125.9112656,,122.0693783,,,
124.9910132,130.4480562,124.9783891,,126.8058195,,,
127.1902867,119.7750666,129.2684102,,125.4112545,,,
132.1756066,117.7295646,121.9187221,,123.9412978,,,
128.3388304,127.9501213,126.3241571,,127.5377029,,,
125.3639246,115.7228731,123.4075346,,121.4981108,,,
120.9465228,114.8720857,115.0243065,,116.9476383,,,
133.7539286,117.7793082,133.8819388,,128.4717252,,,
128.1422305,113.6950702,123.4177457,,121.7516822,,,
121.2667054,126.2235756,120.5193276,,122.6698695,,,
120.8183543,117.4505205,133.7957012,,124.0215254,,,
124.9788837,118.6275773,121.4663216,,121.6909275,,,
123.0786561,120.201065,126.6663407,,123.3153539,,,
125.0738577,123.9622987,129.182705,,126.0729538,,,
123.8041962,112.9701815,138.7962589,,125.1902122,,,
119.360917,126.2625375,130.428275,,125.3505765,,,
119.9887436,119.1930364,130.3444296,,123.1754032,,,
122.7863022,116.9429245,129.356531,,123.0285859,,,
123.1046746,131.7711601,117.5575632,,124.144466,,,
120.6468003,118.4061367,122.2317065,,120.4282145,,,
124.2499143,115.1359457,129.5161559,,122.9673386,,,
123.1447858,119.4678015,132.9630834,,125.1918902,,,
137.5855904,123.4292218,125.7260386,,128.913617,,,
129.6956221,123.9953342,134.1413838,,129.2774467,,,
127.4156112,132.3155585,122.9398141,,127.5569946,,,
130.3129518,112.7713444,132.2822376,,125.1221779,,,
123.9563595,123.1704016,118.0427839,,121.7231817,,,
127.8957835,115.8489886,123.2362323,,122.3270014,,,
118.5577324,113.6736984,129.4005068,,120.5439792,,,
121.0786734,116.2193183,126.8733694,,121.3904537,,,
119.7149527,124.5276821,128.3701534,,124.2042628,,,
124.3784315,124.5362324,121.9928127,,123.6358255,,,
127.7996788,119.9447421,117.8583918,,121.8676042,,,
122.1789963,123.6824092,128.2697247,,124.7103767,,,
125.4289553,112.9314316,127.7670601,,122.0424823,,,
