0,1,2,,,,AVG,STD
123.5534992,99.03578052,118.2503821,,113.6132206,,103.4692378,16.14030173
95.34002528,127.8931474,127.2676542,,116.833609,,,
93.24674865,123.1606412,135.8131253,,117.4068384,,,
93.20085246,120.845288,132.4704993,,115.5055466,,,
92.985161,118.8033296,141.214839,,117.6677765,,,
97.78684703,116.2883869,128.4388548,,114.1713629,,,
98.64706601,121.6759465,130.0880192,,116.8036773,,,
92.909702,122.6750922,138.8868718,,118.157222,,,
89.88985779,130.4775875,127.6181934,,115.9952129,,,
98.2825661,113.4581318,125.0514131,,112.264037,,,
95.27148906,132.7147005,134.2089652,,120.7317183,,,
93.32507039,115.3912306,140.0146965,,116.2436658,,,
101.5162522,119.6791575,130.8482537,,117.3478878,,,
93.66258921,123.3407588,125.1776945,,114.0603475,,,
95.2024686,120.9059111,131.6402517,,115.9162105,,,
91.97650778,112.446656,138.6009661,,114.3413766,,,
93.99451819,121.8466179,123.6489599,,113.1633653,,,
99.11478408,115.5801747,121.4105825,,112.0351804,,,
90.01152397,118.3721413,127.1114613,,111.8317089,,,
94.60663332,123.3488464,131.7973284,,116.5842694,,,
105.8737229,127.4387679,125.6475729,,119.6533546,,,
89.84753887,113.1548891,134.0226323,,112.3416867,,,
95.3407974,115.5947633,119.1086525,,110.0147378,,,
99.39848083,118.9229266,126.7788891,,115.0334322,,,
88.98460852,119.1741094,125.6637393,,111.2741524,,,
98.23518806,119.3271955,129.8962795,,115.8195543,,,
93.26645652,118.0835676,123.9195386,,111.7565209,,,
89.20363219,118.0616912,123.7673646,,110.3442293,,,
86.73139646,139.6574072,130.8497034,,119.0795023,,,
94.13391962,125.0742331,130.9263233,,116.711492,,,
89.87666574,117.7883823,122.60867,,110.0912394,,,
94.8177042,114.0379593,130.8135109,,113.2230581,,,
98.2008905,121.6499377,131.9332079,,117.2613454,,,
91.06281546,119.2350321,137.1398153,,115.8125543,,,
98.1475256,121.1310987,131.34953,,116.8760514,,,
89.82923411,135.7849804,126.1292166,,117.2478104,,,
94.85982176,118.0899545,131.2185156,,114.7227639,,,
98.08108487,116.4103325,130.0976371,,114.8630182,,,
90.73819385,113.5447676,126.5217766,,110.268246,,,
108.8267872,120.5311331,134.784687,,121.3808691,,,
87.30176903,122.6364371,134.3562003,,114.7648021,,,
80.62960577,119.1973692,130.2644133,,110.0304628,,,
78.53934299,125.3243454,125.3161734,,109.7266206,,,
74.82536009,120.7223111,138.9002396,,111.4826369,,,
79.92327575,118.9543831,132.2663258,,110.3813282,,,
88.93531031,120.4684975,148.3874135,,119.2637405,,,
82.28208616,117.7514151,124.1426583,,108.0587198,,,
72.82564462,118.821362,124.7920966,,105.479701,,,
78.57777434,116.6365378,128.2606633,,107.8249918,,,
81.26724073,121.0457437,134.2811024,,112.198029,,,
81.64843007,123.0823564,131.2902644,,112.007017,,,
86.92438879,122.911266,138.0910512,,115.9755687,,,
87.39387722,139.4569999,124.5376426,,117.1295066,,,
80.11413152,119.8044993,124.1741025,,108.0309111,,,
77.2207835,124.5776513,133.7751786,,111.8578711,,,
85.82227486,125.1314199,137.2361962,,116.063297,,,
104.7968519,120.3758306,124.5224484,,116.5650436,,,
89.30488002,131.1262537,133.6106933,,118.0139423,,,
81.93699362,119.0508662,127.6211623,,109.5363407,,,
83.7919367,135.4120112,128.9514393,,116.0517957,,,
85.540692,112.1331142,134.8921545,,110.8553202,,,
82.28745849,134.3233657,129.7947978,,115.4685407,,,
86.92823489,117.3928088,125.6645996,,109.9952144,,,
77.88047898,118.2570658,126.2082428,,107.4485959,,,
95.15283287,115.6401277,128.6008153,,113.1312586,,,
96.43721247,124.0214776,131.6652118,,117.374634,,,
83.97498319,115.0423728,126.7012586,,108.5728715,,,
86.58234873,122.5853685,132.7567892,,113.9748355,,,
80.66846803,127.6144899,128.0883848,,112.1237809,,,
92.11439183,132.910441,138.4987617,,121.1745315,,,
89.7642386,123.3736189,131.8632929,,115.0003835,,,
