0,1,2,,,,,
140.4981318,95.09582538,116.9966833,,117.5302135,,111.1674753,14.36056211
100.2160581,99.34424844,139.1722158,,112.9108408,,,
99.61390209,98.41468424,143.4636454,,113.8307439,,,
91.30283562,103.2967468,139.1325389,,111.2440404,,,
94.82576489,98.74907391,143.4001157,,112.3249848,,,
97.60775306,96.31263311,150.5737048,,114.8313636,,,
108.0005455,95.36944444,140.977363,,114.782451,,,
99.3227806,101.7965289,137.2402801,,112.7865298,,,
94.00263135,102.6474335,138.6623394,,111.7708014,,,
100.4129083,91.34415574,138.0964688,,109.9511776,,,
96.89744515,105.5811184,147.5377161,,116.6720932,,,
99.09478376,104.3058164,156.655973,,120.0188577,,,
102.0100076,101.1522513,134.7864041,,112.6495544,,,
101.6713895,102.9893065,137.3564739,,114.0057233,,,
99.77901414,105.5372321,146.0635556,,117.1266006,,,
102.7110919,99.06851326,133.7418294,,111.8404782,,,
94.11639074,94.8788022,148.0035897,,112.3329275,,,
99.42314551,100.7465081,140.7498364,,113.63983,,,
105.3397378,94.68264462,141.3699613,,113.7974479,,,
104.6072493,101.6806315,139.8121888,,115.3666898,,,
123.4821068,100.3298243,138.4852874,,120.7657395,,,
104.5400735,98.52868128,149.2420342,,117.4369296,,,
112.0508001,105.6056097,142.7910735,,120.1491611,,,
100.5774462,95.0634811,141.6558325,,112.4322533,,,
98.94136373,105.0470679,146.4698006,,116.8194107,,,
104.9810454,108.0231301,140.1353503,,117.7131752,,,
99.97160576,103.1706586,136.3328187,,113.158361,,,
96.53869583,100.9865604,140.6801086,,112.7351216,,,
110.3203884,99.39401434,142.7088931,,117.474432,,,
108.705007,102.5949142,138.9656536,,116.7551916,,,
103.8644587,109.6484745,140.6242928,,118.045742,,,
105.8068278,98.69710811,149.2382814,,117.9140724,,,
97.05061203,105.0461024,135.1389716,,112.4118954,,,
111.9981048,107.3966645,139.8134182,,119.7360625,,,
105.7142801,101.1180666,132.3204045,,113.0509171,,,
105.5431247,101.257058,145.5719038,,117.4573622,,,
98.08701953,96.2384719,140.4831658,,111.6028857,,,
108.3027911,107.4235858,142.1168572,,119.281078,,,
105.9994179,108.8102033,154.1201646,,122.9765953,,,
103.0151951,100.5409963,140.4208488,,114.6590134,,,
107.6386209,100.175731,134.944678,,114.25301,,,
107.9899043,103.9123118,141.3462423,,117.7494861,,,
110.1009699,99.93642692,164.3763271,,124.8045747,,,
116.3203201,98.57531409,134.6932255,,116.5296199,,,
100.5955084,106.8658821,135.1870302,,114.2161402,,,
105.6869408,100.5007631,143.175457,,116.454387,,,
100.9081535,103.2322279,136.1948539,,113.4450784,,,
109.1450891,111.8980068,151.9858459,,124.3429806,,,
102.3498822,104.5151837,141.8233583,,116.2294747,,,
101.1618815,110.1354228,135.3184215,,115.5385752,,,
112.7387227,107.5557795,143.875174,,121.389892,,,
106.2210936,101.7916805,142.8978618,,116.970212,,,
96.65655689,117.3768583,140.1488959,,118.0607704,,,
102.3147811,119.1812069,136.9762253,,119.4907378,,,
102.9438009,104.8475526,145.9571525,,117.9161686,,,
110.9812262,109.9905587,142.2442735,,121.0720194,,,
100.2087785,118.402879,137.7094057,,118.7736878,,,
105.6317011,106.3664948,144.4601566,,118.8194509,,,
106.2016466,119.6757125,145.239401,,123.7055867,,,
113.4996996,105.1247772,137.0530371,,118.5591713,,,
104.9380686,105.5490742,142.8761487,,117.7877638,,,
113.4998694,117.5819381,136.868741,,122.6501828,,,
101.7342723,102.0048835,147.0607672,,116.9333077,,,
119.0725491,103.9043764,136.8634179,,119.9467811,,,
100.6487126,98.34604763,138.9580268,,112.650929,,,
109.4424497,100.6462371,138.1996746,,116.0961205,,,
110.6168298,108.1539639,139.0984361,,119.2897433,,,
109.9181546,102.6827038,138.7882917,,117.1297167,,,
108.1863666,107.9578604,152.4960014,,122.8800761,,,
106.6346753,105.86602,139.5419903,,117.3475619,,,
97.74995468,113.515148,137.8765575,,116.3805534,,,
110.5505401,113.7215733,140.502055,,121.5913895,,,
109.0093185,101.9025851,142.427115,,117.7796729,,,
109.9476864,111.2301928,147.3116393,,122.8298395,,,
105.5949539,102.6122401,139.8313462,,116.0128467,,,
105.06554,106.0700061,145.6991515,,118.9448992,,,
104.9378211,110.8846922,136.631224,,117.4845791,,,
103.539711,109.0346921,134.8153163,,115.7965731,,,
110.3558105,102.2313226,138.8408686,,117.1426672,,,
107.1964445,107.8084834,144.3977143,,119.8008807,,,
98.8730977,98.36602271,139.8575153,,112.3655452,,,
