0,1,2,,,,,
107.9277082,123.3913089,149.6919139,,127.0036437,,97.94344336,15.24041748
103.016758,137.9787881,100.0707088,,113.6887516,,,
111.191918,136.2700357,89.43293219,,112.2982953,,,
100.4265657,130.568313,108.5145118,,113.1697969,,,
98.26023041,127.53982,120.6454001,,115.4818168,,,
100.0079766,127.6104833,127.3671617,,118.3285405,,,
107.6348436,121.2572346,129.0479109,,119.3133297,,,
108.0293609,120.9486378,136.8206321,,121.932877,,,
98.36407272,111.9093887,134.5882715,,114.953911,,,
92.46999683,91.77704223,150.5865607,,111.6111999,,,
94.88848155,100.5875734,145.7434209,,113.7398253,,,
96.32757396,93.25383888,109.1363288,,99.57258055,,,
91.66978356,104.7199548,115.9205044,,104.1034142,,,
91.22943666,130.2504919,129.9418246,,117.1405844,,,
93.45145253,137.4415656,132.6530864,,121.1820349,,,
92.94059661,120.8835136,128.6600793,,114.1613965,,,
99.82148887,128.5284675,134.5547224,,120.9682263,,,
100.0771962,127.0658327,139.1210511,,122.0880267,,,
86.01435968,135.3645004,135.7776162,,119.0521588,,,
103.8733576,143.093349,137.6009173,,128.189208,,,
110.2024575,131.343128,142.0714779,,127.8723545,,,
138.9496159,134.0540962,110.8293725,,127.9443615,,,
141.9319353,142.3700924,118.4858936,,134.2626405,,,
138.1650395,140.9073901,106.9042657,,128.6588985,,,
151.6962152,133.9250101,112.5032522,,132.7081592,,,
143.4302404,135.9649193,117.3383012,,132.244487,,,
138.0169282,131.2978176,107.5033396,,125.6060284,,,
145.9986198,129.5486392,109.9389311,,128.4953967,,,
152.2468429,126.2249508,100.6706505,,126.3808147,,,
141.5153795,128.2636834,108.8170678,,126.1987102,,,
159.4505403,130.3031541,89.10311068,,126.2856017,,,
114.2636978,138.7936706,92.48014288,,115.1791704,,,
121.9002925,139.5297617,91.53143442,,117.6538295,,,
119.6900133,146.3871919,93.77323895,,119.950148,,,
112.7829849,142.5410461,90.04269899,,115.1222433,,,
116.7061485,149.5918757,85.25743292,,117.1851524,,,
117.8726017,142.4198456,91.43324501,,117.2418974,,,
109.6023636,150.8228066,90.08102942,,116.8353999,,,
104.7375106,140.4613345,87.03281322,,110.7438861,,,
101.8640912,156.5296256,93.96942355,,117.4543801,,,
86.4593319,149.7058918,83.96658397,,106.7106026,,,
136.8004258,111.3940004,83.98969876,,110.7280416,,,
134.9190189,102.7564414,87.43129927,,108.3689199,,,
150.7212636,106.4312656,87.52940199,,114.8939771,,,
141.7147417,113.3634311,99.22314699,,118.1004399,,,
139.4622711,105.5428081,116.2870145,,120.4306979,,,
131.8440373,99.94804246,91.14542785,,107.6458359,,,
122.3722478,104.9570424,83.5657266,,103.6316723,,,
126.4719628,98.88667689,62.28307094,,95.8805702,,,
129.0830144,101.5579546,73.04732565,,101.2294316,,,
123.3129517,108.6432089,71.68596046,,101.2140404,,,
112.9136005,66.80023117,156.9500741,,112.2213019,,,
114.4206694,77.14162338,126.4249695,,105.9957541,,,
121.3279144,69.48784926,114.8994224,,101.905062,,,
125.1478395,63.76206737,109.0502342,,99.32004701,,,
142.4949974,76.85847034,109.8729802,,109.7421493,,,
125.852019,58.87787913,110.2488443,,98.32624747,,,
133.1430725,64.75215549,93.94674254,,97.28065685,,,
127.0459407,65.143938,95.40856524,,95.86614799,,,
133.5195581,65.99706857,98.50589651,,99.34084107,,,
138.102988,70.89843928,94.28458979,,101.095339,,,
101.9209146,105.0544549,62.30805904,,89.76114284,,,
101.2058999,96.13411386,51.96360117,,83.10120499,,,
104.8793842,89.66919057,52.39687883,,82.3151512,,,
103.2400877,95.64512062,43.2527758,,80.71266136,,,
107.5507104,97.83787988,31.6982825,,79.0289576,,,
100.2546837,90.52258642,46.90474284,,79.22733764,,,
103.1781162,100.9742118,65.35875501,,89.83702766,,,
97.35546984,92.317137,54.91869126,,81.5304327,,,
110.9893462,101.4286729,37.31724902,,83.24508937,,,
113.2707159,106.8101247,55.76638332,,91.94907463,,,
102.4323423,131.9245926,53.76213442,,96.0396898,,,
99.22449542,131.3227412,52.89290678,,94.4800478,,,
99.89166717,137.3616235,67.18191096,,101.4784006,,,
108.0517644,131.25078,58.3096963,,99.20408024,,,
104.8105106,132.5601247,62.97251839,,100.1143846,,,
99.95578792,121.9986227,73.27850574,,98.41097213,,,
95.4212857,119.8478238,69.12752849,,94.79887932,,,
96.8312765,116.0782753,68.47055337,,93.79336841,,,
108.6434891,110.3450075,85.96111633,,101.649871,,,
96.39009147,118.9265604,84.48788071,,99.93484421,,,
95.03431065,86.83063598,111.732233,,97.86572655,,,
94.23965808,85.72335168,101.2321189,,93.73170955,,,
102.1573405,74.1111015,102.0865273,,92.78498976,,,
90.89777898,78.54780701,93.7130807,,87.71955556,,,
99.0423819,76.28268653,102.2141682,,92.51307889,,,
97.16580295,94.47406451,81.15892082,,90.93292943,,,
96.16608807,99.67584968,95.19968935,,97.0138757,,,
93.24508556,104.5934995,107.8619498,,101.9001783,,,
95.41058681,113.8805871,118.3446184,,109.2119308,,,
98.02556537,126.7528088,123.2809006,,116.0197583,,,
116.5254512,121.2053896,135.0902543,,124.2736983,,,
100.3031792,122.2768703,122.6173054,,115.065785,,,
98.43939284,128.0396738,125.4921284,,117.3237317,,,
101.1920842,127.7531904,137.2338966,,122.0597237,,,
96.28254788,118.1282656,129.1081285,,114.506314,,,
100.023087,116.6737669,124.668018,,113.7882906,,,
96.14528504,113.6913377,133.9200204,,114.5855477,,,
101.2700717,118.5722444,137.6582035,,119.1668399,,,
110.1171877,109.2777813,156.1155945,,125.1701878,,,
111.4196098,108.2644749,153.731939,,124.4720079,,,
153.0930394,96.01681185,94.4222088,,114.5106867,,,
136.7550065,103.8271477,88.29031232,,109.6241555,,,
131.4729548,104.540266,103.3393511,,113.117524,,,
135.5180391,97.96663042,104.4841995,,112.6562897,,,
133.3188284,94.60638897,92.41889873,,106.781372,,,
144.5586158,108.4067203,108.5708014,,120.5120458,,,
147.4380838,91.53550821,93.28973418,,110.7544421,,,
142.050809,109.4161714,101.2993414,,117.5887739,,,
131.436267,99.48078271,87.52716025,,106.14807,,,
138.9319919,99.14427548,97.4659515,,111.8474063,,,
129.3741498,111.89743,94.314872,,111.8621506,,,
125.5347657,103.9871762,91.78723829,,107.10306,,,
127.3987892,103.4112425,106.7966999,,112.5355772,,,
113.1815151,96.67708381,112.5662707,,107.4749565,,,
114.2261025,114.7903286,87.98522846,,105.6672198,,,
103.9096905,105.3818673,92.56850458,,100.6200208,,,
102.3277912,104.4007862,99.52114431,,102.0832405,,,
97.93446632,98.50111217,89.45521349,,95.29693066,,,
113.3059589,98.21009747,86.02891259,,99.18165631,,,
118.9595819,105.3357496,87.41813097,,103.9044875,,,
106.5294714,95.6438656,132.4078637,,111.5270669,,,
92.52067102,93.16966457,130.3504469,,105.3469275,,,
97.98323207,86.42995144,125.8151,,103.4094278,,,
93.58938729,95.85159965,133.7556719,,107.7322196,,,
105.6956115,95.91672227,139.272273,,113.6282023,,,
108.5594257,84.65061746,140.3816844,,111.1972425,,,
105.7722825,99.70978844,139.3888867,,114.9569859,,,
92.27154877,96.06551252,142.3739997,,110.2370203,,,
99.41862783,87.10279206,134.6142281,,107.045216,,,
94.80294116,96.16386212,137.4740053,,109.4802695,,,
96.24083859,87.18489801,98.96384157,,94.12985939,,,
91.27677113,95.68551355,120.4386113,,102.4669653,,,
92.79758778,100.527953,115.3886752,,102.9047387,,,
99.96851114,91.78713928,120.3625308,,104.0393938,,,
